Agent_ID,Vehicle_Type,SoC_Pct,State,Connected_Node,V2G_Capable
EV_0001,Truck,32.0,Discharging,T_062,True
EV_0002,Sedan,24.5,Discharging,T_071,False
EV_0003,Minibus,94.6,Idle,T_046,False
EV_0004,Sedan,89.9,Charging,T_058,False
EV_0005,Sedan,80.0,Discharging,T_092,True
EV_0006,Minibus,56.6,Charging,T_051,False
EV_0007,Motorcycle,54.2,Driving,T_072,False
EV_0008,SUV,57.7,Charging,T_010,False
EV_0009,Sedan,58.3,Charging,T_021,True
EV_0010,SUV,49.1,Idle,T_092,True
EV_0011,Sedan,21.9,Idle,T_084,False
EV_0012,Truck,21.3,Idle,T_064,True
EV_0013,Minibus,95.7,Idle,T_037,False
EV_0014,Sedan,53.4,Driving,T_020,True
EV_0015,Sedan,95.8,Idle,T_083,True
EV_0016,Sedan,24.7,Idle,T_077,False
EV_0017,Motorcycle,59.9,Idle,T_024,False
EV_0018,SUV,28.7,Charging,T_058,False
EV_0019,Truck,32.8,Idle,T_061,False
EV_0020,SUV,12.7,Charging,T_047,False
EV_0021,SUV,20.7,Idle,T_090,False
EV_0022,Sedan,92.5,Charging,T_013,False
EV_0023,Motorcycle,38.9,Driving,T_026,False
EV_0024,Sedan,64.7,Idle,T_010,False
EV_0025,SUV,51.9,Driving,T_068,False
EV_0026,Minibus,46.0,Idle,T_063,False
EV_0027,SUV,57.9,Charging,T_096,True
EV_0028,Motorcycle,26.9,Driving,T_053,False
EV_0029,Sedan,99.0,Idle,T_015,False
EV_0030,SUV,83.6,Discharging,T_044,False
EV_0031,SUV,76.7,Idle,T_009,False
EV_0032,SUV,52.2,Idle,T_066,True
EV_0033,Sedan,23.8,Driving,T_066,False
EV_0034,Sedan,92.9,Idle,T_084,True
EV_0035,Sedan,40.7,Idle,T_033,False
EV_0036,Sedan,14.5,Discharging,T_031,False
EV_0037,SUV,40.8,Discharging,T_007,False
EV_0038,SUV,81.5,Driving,T_041,False
EV_0039,SUV,66.0,Idle,T_047,False
EV_0040,SUV,77.6,Idle,T_074,False
EV_0041,SUV,81.4,Driving,T_074,False
EV_0042,Sedan,29.1,Idle,T_014,False
EV_0043,SUV,93.1,Discharging,T_028,False
EV_0044,Sedan,49.4,Idle,T_050,True
EV_0045,Sedan,67.5,Charging,T_033,False
EV_0046,SUV,10.2,Discharging,T_003,True
EV_0047,SUV,99.4,Charging,T_083,False
EV_0048,Sedan,35.3,Charging,T_071,False
EV_0049,SUV,15.6,Idle,T_051,False
EV_0050,SUV,51.2,Discharging,T_031,True
EV_0051,Minibus,21.6,Driving,T_082,False
EV_0052,SUV,23.7,Charging,T_004,False
EV_0053,Minibus,66.9,Charging,T_044,True
EV_0054,Sedan,45.4,Driving,T_078,True
EV_0055,Truck,93.0,Charging,T_093,False
EV_0056,SUV,38.7,Charging,T_025,False
EV_0057,SUV,75.4,Charging,T_064,True
EV_0058,SUV,51.5,Idle,T_019,True
EV_0059,SUV,69.4,Driving,T_012,False
EV_0060,SUV,64.0,Discharging,T_035,False
EV_0061,Minibus,52.6,Discharging,T_086,False
EV_0062,Truck,95.5,Charging,T_067,False
EV_0063,Motorcycle,40.8,Idle,T_048,True
EV_0064,SUV,26.0,Idle,T_028,True
EV_0065,SUV,71.0,Charging,T_014,False
EV_0066,Truck,86.1,Charging,T_027,True
EV_0067,Sedan,13.6,Idle,T_015,True
EV_0068,Truck,50.5,Charging,T_019,False
EV_0069,SUV,90.3,Idle,T_067,False
EV_0070,Sedan,77.5,Discharging,T_013,False
EV_0071,Sedan,99.3,Charging,T_005,False
EV_0072,Truck,57.8,Idle,T_053,False
EV_0073,Sedan,69.4,Discharging,T_028,False
EV_0074,Sedan,37.2,Discharging,T_045,False
EV_0075,Sedan,95.3,Driving,T_014,False
EV_0076,Sedan,43.0,Idle,T_021,False
EV_0077,Sedan,76.5,Driving,T_043,False
EV_0078,Minibus,46.3,Charging,T_067,False
EV_0079,Sedan,60.6,Idle,T_041,False
EV_0080,Truck,74.8,Charging,T_053,True
EV_0081,Truck,55.8,Idle,T_051,False
EV_0082,SUV,91.6,Idle,T_027,True
EV_0083,Sedan,47.7,Charging,T_028,False
EV_0084,SUV,68.2,Discharging,T_042,True
EV_0085,Sedan,40.8,Idle,T_004,True
EV_0086,SUV,46.7,Charging,T_067,False
EV_0087,Motorcycle,49.6,Charging,T_060,False
EV_0088,Motorcycle,21.3,Idle,T_030,False
EV_0089,Truck,18.3,Idle,T_037,True
EV_0090,Sedan,70.1,Idle,T_032,True
EV_0091,Minibus,69.0,Charging,T_064,False
EV_0092,Minibus,69.7,Discharging,T_074,True
EV_0093,SUV,11.8,Driving,T_011,True
EV_0094,SUV,39.4,Idle,T_041,False
EV_0095,Sedan,27.8,Idle,T_002,True
EV_0096,Sedan,80.0,Driving,T_044,True
EV_0097,SUV,87.5,Driving,T_025,False
EV_0098,Sedan,32.2,Idle,T_033,False
EV_0099,Sedan,70.1,Driving,T_045,False
EV_0100,Truck,21.6,Driving,T_032,False
EV_0101,Motorcycle,34.8,Discharging,T_039,False
EV_0102,SUV,22.5,Idle,T_075,True
EV_0103,Truck,35.5,Charging,T_079,False
EV_0104,Motorcycle,70.7,Charging,T_001,False
EV_0105,Sedan,91.9,Idle,T_037,False
EV_0106,SUV,28.2,Idle,T_083,False
EV_0107,SUV,58.8,Idle,T_052,False
EV_0108,Sedan,73.1,Idle,T_020,True
