Node_ID,Lat,Lon,Rated_MW,Zone,Feeder_ID,Substation
T_001,24.72883585398772,46.62543765861992,100,Central,FDR_017,SUB_B
T_002,24.661600794687974,46.69528871133617,25,Central,FDR_009,SUB_B
T_003,24.75112255979032,46.630026047232,50,Central,FDR_012,SUB_E
T_004,24.76062823581956,46.65639187229803,75,Central,FDR_009,SUB_F
T_005,24.61604824056731,46.740261414889304,150,South,FDR_016,SUB_A
T_006,24.648491024656884,46.65748680144693,50,Central,FDR_020,SUB_G
T_007,24.719992020158365,46.71217577842335,25,South,FDR_016,SUB_F
T_008,24.69778787038282,46.628619115999506,25,Central,FDR_019,SUB_A
T_009,24.712759942124784,46.66502812210662,25,East,FDR_019,SUB_A
T_010,24.67094780362132,46.62779889725447,25,West,FDR_002,SUB_E
T_011,24.757569898743142,46.658348346204974,75,West,FDR_006,SUB_H
T_012,24.752489596771447,46.71731540687287,25,West,FDR_015,SUB_I
T_013,24.716901534878062,46.58893397884038,50,West,FDR_012,SUB_E
T_014,24.7699620603484,46.697021182177295,75,West,FDR_002,SUB_C
T_015,24.7369754671126,46.68718678011661,50,West,FDR_002,SUB_J
T_016,24.670635376855838,46.64559250221516,25,North,FDR_011,SUB_E
T_017,24.732037539204125,46.60299710728058,100,Central,FDR_013,SUB_D
T_018,24.66565586995855,46.678906475385695,75,East,FDR_004,SUB_E
T_019,24.757522515065364,46.64882536454681,75,South,FDR_004,SUB_A
T_020,24.711103704450686,46.68693381056774,25,East,FDR_003,SUB_D
T_021,24.704356881822736,46.67639260727617,25,Central,FDR_012,SUB_F
T_022,24.679553522779802,46.75538894456604,100,Central,FDR_001,SUB_J
T_023,24.7747270669337,46.66333221862635,50,Central,FDR_012,SUB_H
T_024,24.70587352589656,46.624125125368906,50,East,FDR_010,SUB_H
T_025,24.692183608891845,46.684263781747816,50,West,FDR_010,SUB_F
T_026,24.695993322475587,46.686299834198586,75,South,FDR_014,SUB_B
T_027,24.740215459277668,46.74325937876202,150,West,FDR_011,SUB_D
T_028,24.731872203218202,46.71705556229573,50,West,FDR_015,SUB_J
T_029,24.734236630579797,46.69314355295747,100,South,FDR_016,SUB_A
T_030,24.735141050150393,46.74846514456098,25,South,FDR_019,SUB_I
T_031,24.82068238004352,46.61586184728386,50,North,FDR_016,SUB_G
T_032,24.69327924918077,46.64331242336251,75,North,FDR_011,SUB_C
T_033,24.68798786354642,46.628971202929726,25,East,FDR_010,SUB_H
T_034,24.672911363587605,46.655809509842214,25,East,FDR_005,SUB_I
T_035,24.744398971128774,46.60646569262219,50,North,FDR_012,SUB_A
T_036,24.770048614636043,46.70705754734072,150,East,FDR_003,SUB_B
T_037,24.707902627117257,46.664188865145064,50,West,FDR_019,SUB_G
T_038,24.671592176151872,46.601759685274864,100,South,FDR_017,SUB_J
T_039,24.67237593921544,46.62452104593962,100,South,FDR_003,SUB_A
T_040,24.746129639391235,46.69097569237251,50,South,FDR_016,SUB_G
T_041,24.75076270856017,46.71720632839472,75,East,FDR_003,SUB_B
T_042,24.74075771341526,46.77513654458459,25,South,FDR_015,SUB_G
T_043,24.680324514635565,46.82099312330037,25,West,FDR_002,SUB_G
T_044,24.725208066153336,46.6960204716638,100,South,FDR_010,SUB_A
T_045,24.719434290457038,46.625823093998406,75,East,FDR_014,SUB_G
T_046,24.72453442983645,46.568697685963436,25,South,FDR_015,SUB_I
T_047,24.75717143889741,46.68868557311719,50,North,FDR_009,SUB_I
T_048,24.724779777438734,46.634652945234485,75,West,FDR_019,SUB_A
T_049,24.747545678153596,46.654532136991016,100,South,FDR_016,SUB_C
T_050,24.716978953474445,46.64469516004701,75,South,FDR_005,SUB_C
T_051,24.7280559699345,46.66826045567918,50,West,FDR_014,SUB_E
T_052,24.745164411291928,46.72859901153938,50,Central,FDR_015,SUB_B
T_053,24.640742209007215,46.68315242837227,50,West,FDR_007,SUB_I
T_054,24.697616439182134,46.667368258148066,75,Central,FDR_015,SUB_H
T_055,24.69008136728536,46.62351731235871,100,Central,FDR_018,SUB_I
T_056,24.681656107587834,46.59156585276478,50,East,FDR_017,SUB_B
T_057,24.699842887438667,46.65098460454633,25,West,FDR_016,SUB_A
T_058,24.78834706556172,46.67261087245908,25,South,FDR_013,SUB_J
T_059,24.670308444215337,46.76369649567899,75,East,FDR_006,SUB_C
T_060,24.762013917729572,46.68181372607364,100,East,FDR_016,SUB_G
T_061,24.62945651141921,46.72443697555115,25,Central,FDR_008,SUB_J
T_062,24.69685574850071,46.65033522007304,25,Central,FDR_011,SUB_A
T_063,24.72173765325525,46.61605281167915,50,East,FDR_007,SUB_A
T_064,24.742911116567964,46.62704416188838,25,West,FDR_007,SUB_A
T_065,24.749161328989643,46.63903869677321,100,South,FDR_004,SUB_B
T_066,24.753267361759995,46.78172348662176,50,Central,FDR_020,SUB_A
T_067,24.696163746387576,46.63423066603878,25,East,FDR_003,SUB_I
T_068,24.690482410366773,46.71722446018682,100,East,FDR_002,SUB_G
T_069,24.756498794062857,46.630153641095646,25,West,FDR_019,SUB_J
T_070,24.70403478375592,46.72187865064371,50,West,FDR_012,SUB_I
T_071,24.649815683833104,46.694547548305295,25,North,FDR_009,SUB_J
T_072,24.656935639299824,46.667468105117095,25,South,FDR_015,SUB_C
T_073,24.66762738569992,46.67326187369323,25,North,FDR_008,SUB_C
T_074,24.738458037202687,46.64256061522853,25,West,FDR_003,SUB_I
T_075,24.720721286803528,46.697603610074104,25,North,FDR_015,SUB_C
T_076,24.74812426770339,46.65255082598296,25,South,FDR_004,SUB_A
T_077,24.692237367683173,46.614019711811636,50,East,FDR_012,SUB_G
T_078,24.721526984553837,46.61140312128402,75,West,FDR_019,SUB_I
T_079,24.744879519698365,46.6839293958861,50,East,FDR_019,SUB_J
T_080,24.698132673013987,46.75425456282052,50,Central,FDR_008,SUB_J
T_081,24.73643876187787,46.68329958067867,50,Central,FDR_016,SUB_B
T_082,24.680503702946666,46.66936808369451,100,North,FDR_013,SUB_H
T_083,24.695447307671746,46.68959130698013,100,Central,FDR_010,SUB_I
T_084,24.694513105300082,46.74060008708534,25,West,FDR_003,SUB_G
T_085,24.653808017720547,46.68626912506819,25,West,FDR_008,SUB_I
T_086,24.73794862403928,46.65475363845831,25,North,FDR_014,SUB_I
T_087,24.690129882989865,46.73061443550299,25,West,FDR_020,SUB_E
T_088,24.714224705936385,46.69673782192308,50,West,FDR_001,SUB_A
T_089,24.737637332945294,46.7520877995998,50,East,FDR_015,SUB_E
T_090,24.7359265588015,46.6844617218611,25,North,FDR_017,SUB_C
T_091,24.74686925544864,46.614076548413976,50,East,FDR_020,SUB_B
T_092,24.70867572577453,46.606892040037714,50,Central,FDR_009,SUB_B
T_093,24.692435084397793,46.75784639661156,25,West,FDR_003,SUB_G
T_094,24.70961408945468,46.761483286039166,100,North,FDR_006,SUB_F
T_095,24.6292332783021,46.66632403933587,25,Central,FDR_018,SUB_F
T_096,24.641244376378847,46.6561406339432,100,Central,FDR_018,SUB_H
T_097,24.64746501938228,46.74837221461211,25,North,FDR_013,SUB_F
